tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt1090269,movie,Seeds of Lust,Seeds of Lust,1,1971,,95,"Adult,Comedy",4.9,18
tt1091805,movie,Llik Your Idols,Llik Your Idols,1,2007,,70,"Adult,Documentary",6.6,77
tt1092604,movie,The Midnight Hustler,The Midnight Hustler,1,1971,,59,Adult,3.6,18
tt1092626,movie,Waltz of the Bat,Waltz of the Bat,1,1972,,71,"Adult,Comedy,Fantasy",5.1,60
tt10989238,movie,Yataktan Yataga,Yataktan Yataga,1,1979,,,Adult,5.7,6
tt10996554,movie,"CJOD-176 the Day My Busty, Provocative Sister-In-Law Rode My Dick and Made Me Give Her a Creampie. Mio Kimijima - Kimishima Mio","The Day My Busty, Provocative Sister-In-Law Rode My Dick And Made Me Give Her A Creampie. Mio Kimijima",1,2019,,116,"Action,Adult",1.6,88
tt11033024,movie,Melody Marks Is A Dirty Schoolgirl That Gets Pounded By Dick,Melody Marks Is A Dirty Schoolgirl That Gets Pounded By Dick,1,2019,,,Adult,8.4,7
tt1117531,movie,Parties carrées campagnardes,Parties carrées campagnardes,1,1980,,64,Adult,6.1,47
tt1123388,movie,Ryan Sullivan's Island,Island,1,2008,,66,"Adult,Documentary",5.0,52
tt1139663,movie,Master's Degree in Feminine Sexual Liberation,Master's Degree in Feminine Sexual Liberation,1,1971,,61,Adult,4.9,10
tt1142979,tvMovie,Girl with the Sex-Ray Eyes,Girl with the Sex-Ray Eyes,1,2007,,79,Comedy,4.0,209
tt1143886,movie,Animal Lover,Animal Lover,1,1970,,,"Adult,Documentary",5.9,36
tt1144481,tvMovie,Downtown Girls: The Hookers of Honolulu,Downtown Girls: The Hookers of Honolulu,1,2005,,53,Documentary,5.7,19
tt11478106,movie,Step Sisters: A Molly Stewart XXX Parody,Step Sisters: A Molly Stewart XXX Parody,1,2019,,77,Adult,7.2,5
tt11492632,movie,Drömdoktorn,Drömdoktorn,1,2008,,60,Adult,3.4,8
tt11501052,movie,Démarcheuses en chaleur,Démarcheuses en chaleur,1,1979,,71,"Adult,Drama",5.6,11
tt11525668,movie,Raffinement de luxure,Raffinement de luxure,1,1977,,80,Adult,4.9,14
tt1153081,movie,Gunilla,Gunilla,1,1971,,58,Adult,4.5,25
tt1153101,movie,The Band,The Band,1,2009,,90,"Adult,Comedy,Music",3.2,699
tt1159936,movie,Duplicated,Duplicated,1,1980,,49,Adult,6.8,8
tt1159947,movie,The Last Surfer,The Last Surfer,1,1983,,62,Adult,6.1,14
tt1161979,movie,The Crash Pad,The Crash Pad,1,2006,,60,"Adult,Drama",7.0,43
