Title,Year,Genres,Rating,Votes
Anderssonskans Kalle,1950,"Comedy,Family",5.3,98
Atom Man vs. Superman,1950,"Action,Family,Sci-Fi",6.7,872
Beware of Blondie,1950,"Comedy,Family",6.0,255
Blonde Dynamite,1950,"Comedy,Crime,Family",6.2,435
Blondie's Hero,1950,"Comedy,Family",5.9,233
Cheaper by the Dozen,1950,"Comedy,Drama,Family",7.0,5851
Cinderella,1950,"Animation,Family,Fantasy",7.3,179496
Dastan,1950,"Drama,Family,Romance",6.8,82
Das doppelte Lottchen,1950,"Comedy,Family",6.9,640
Father Is a Bachelor,1950,"Adventure,Comedy,Family",6.7,594
The Great Rupert,1950,"Comedy,Family",6.4,1705
The Happy Years,1950,"Comedy,Family,Romance",6.8,810
Historien om Hjortholm,1950,"Drama,Family,Romance",6.2,38
Joe Palooka in Humphrey Takes a Chance,1950,"Action,Comedy,Family",6.3,50
Joe Palooka Meets Humphrey,1950,"Comedy,Family,Sport",6.1,53
Das kalte Herz,1950,"Family,Fantasy,Romance",7.3,713
Kastrullresan,1950,Family,5.7,59
Kim,1950,"Adventure,Drama,Family",6.5,2324
Königskinder,1950,"Comedy,Family,Romance",7.0,34
Mark of the Gorilla,1950,"Adventure,Family",5.1,400
Mosekongen,1950,"Drama,Family",6.2,172
Den opvakte jomfru,1950,"Comedy,Drama,Family",5.2,35
Peppino e Violetta,1951,"Family,Fantasy",7.0,20
Pirates of the High Seas,1950,"Action,Crime,Family",7.0,60
Pygmy Island,1950,"Adventure,Family",5.4,347
Rocketship X-M,1950,"Family,Sci-Fi",4.9,2582
De røde heste,1950,"Drama,Family,Romance",6.1,292
Stars in My Crown,1950,"Family,Western",7.4,2605
Treasure Island,1950,"Adventure,Drama,Family",6.9,9935
Érase una vez,1950,"Animation,Comedy,Family",6.2,69
Bud Abbott and Lou Costello Meet the Invisible Man,1951,"Comedy,Family,Horror",6.6,6365
Angels in the Outfield,1951,"Comedy,Family,Fantasy",7.1,3097
Bag de røde porte,1951,"Comedy,Drama,Family",6.1,71
Bedtime for Bonzo,1951,"Comedy,Family,Romance",5.5,1139
Buzdil,1951,"Drama,Family",7.4,11
Císaruv slavík,1949,"Animation,Family,Fantasy",6.7,478
David and Bathsheba,1951,"Drama,Family,History",6.1,2757
Fodboldpræsten,1951,"Family,Romance",6.3,81
Francis Goes to the Races,1951,"Comedy,Family,Fantasy",6.3,598
Un gallo en corral ajeno,1952,"Comedy,Family,Musical",7.3,44
Det gamle guld,1951,"Comedy,Drama,Family",6.0,162
Gold Raiders,1951,"Comedy,Family,Western",5.6,290
Jim Thorpe -- All-American,1951,"Biography,Drama,Family",6.9,2407
Kekec,1951,"Adventure,Family",7.9,892
Let's Go Navy!,1951,"Comedy,Family",6.3,327
Mysterious Island,1951,"Action,Family,Sci-Fi",5.9,250
Nau Bahar,1952,"Drama,Family",7.1,13
On Moonlight Bay,1951,"Comedy,Family,Musical",6.9,3198
The Painted Hills,1951,"Drama,Family,Western",4.2,1285
Pathala Bhairavi,1951,"Action,Adventure,Family",8.5,815
The Lawton Story,1949,"Drama,Family,Romance",5.7,41
Rhubarb,1951,"Comedy,Family,Sport",6.8,868
Sazaa,1951,"Drama,Family",6.4,48
Scrooge,1951,"Drama,Family,Fantasy",8.1,27411
I sette nani alla riscossa,1951,"Comedy,Family,Fantasy",5.3,66
Show Boat,1951,"Drama,Family,Musical",6.8,5531
Tales of Robin Hood,1951,"Adventure,Family",5.4,106
Tull-Bom,1951,"Comedy,Family",5.1,94
Vores fjerde far,1951,"Comedy,Family,Romance",6.3,42
Aladdin and His Lamp,1952,"Adventure,Family,Fantasy",5.6,98
